loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,is_default
12000,12000,36,10.74,391.39,B,B2,9 years,MORTGAGE,69000,Verified,01-03-2012,Fully Paid,credit_card,CO,23.61,0,700,704,15,0,28188,54.1,26,0
6675,6675,36,12.99,224.88,C,C2,2 years,RENT,45000,Not Verified,01-01-2015,Fully Paid,credit_card,GA,20.64,0,660,664,4,0,3508,73,5,0
14075,14075,36,10.64,458.41,B,B4,9 years,MORTGAGE,50000,Not Verified,01-12-2015,Fully Paid,debt_consolidation,UT,19.04,0,765,769,10,0,9169,20.8,17,0
27000,27000,60,14.47,634.85,C,C2,10+ years,MORTGAGE,95000,Source Verified,01-12-2013,Fully Paid,debt_consolidation,NJ,23.29,0,720,724,20,0,38808,49.8,32,0
5600,5600,36,6.08,170.57,A,A2,3 years,RENT,121677,Source Verified,01-02-2018,Fully Paid,credit_card,MS,19.06,0,700,704,25,0,17057,31,35,0
33025,33025,60,18.99,856.51,E,E1,10+ years,MORTGAGE,130000,Verified,01-10-2014,Charged Off,debt_consolidation,CO,29.66,1,700,704,23,0,29832,71.7,65,1
5000,5000,36,12.79,167.97,C,C1,< 1 year,RENT,32200,Source Verified,01-07-2016,Fully Paid,debt_consolidation,NE,10.06,0,665,669,5,0,4423,98.3,7,0
3600,3600,36,16.49,127.44,D,D3,6 years,RENT,50000,Not Verified,01-02-2015,Fully Paid,debt_consolidation,WI,19.04,0,680,684,5,0,10407,99.1,12,0
7000,7000,36,7.62,218.13,A,A3,6 years,RENT,50000,Verified,01-10-2013,Fully Paid,credit_card,CA,8.26,0,760,764,6,0,5057,31.2,13,0
3000,3000,36,10.16,97.03,B,B1,10+ years,RENT,62000,Not Verified,01-08-2012,Fully Paid,other,PA,27.62,0,715,719,6,0,30231,86.9,22,0
26350,26350,60,19.52,691.1,E,E2,10+ years,RENT,60000,Source Verified,01-07-2014,Charged Off,debt_consolidation,CA,20.48,0,690,694,3,0,20015,99.6,20,1
30000,30000,36,8.67,949.4,B,B1,10+ years,MORTGAGE,119000,Verified,01-12-2014,Fully Paid,debt_consolidation,NJ,15.8,0,690,694,25,0,32052,48.9,38,0
12800,12800,36,5.32,385.47,A,A1,4 years,MORTGAGE,96880,Not Verified,01-04-2016,Fully Paid,debt_consolidation,CA,26.15,0,740,744,17,0,89419,28.7,34,0
19500,19500,36,11.99,647.59,C,C1,10+ years,OWN,82000,Not Verified,01-12-2015,Fully Paid,credit_card,GA,14.63,0,715,719,14,3,16820,19.4,30,0
9000,9000,36,6.03,273.92,A,A1,10+ years,MORTGAGE,48000,Source Verified,01-04-2014,Fully Paid,credit_card,IL,13.25,0,790,794,7,0,8126,27.5,18,0
18000,18000,60,19.47,471.6,D,D5,2 years,MORTGAGE,50500,Verified,01-02-2014,Charged Off,credit_card,NM,19.56,0,670,674,9,0,25744,72.5,14,1
35000,35000,36,15.31,1218.61,C,C2,10+ years,MORTGAGE,100000,Verified,01-03-2013,Fully Paid,credit_card,IL,22.97,0,715,719,7,0,30386,64.5,31,0
22800,22800,36,7.9,713.42,A,A4,5 years,MORTGAGE,105000,Verified,01-12-2012,Fully Paid,credit_card,NJ,22.31,0,695,699,14,0,31149,63.3,31,0
9925,9925,36,13.98,339.12,C,C1,4 years,MORTGAGE,60000,Not Verified,01-12-2013,Fully Paid,debt_consolidation,OH,2.72,2,675,679,8,0,2562,46.6,18,0
20000,20000,36,8.49,631.26,B,B1,< 1 year,MORTGAGE,80000,Source Verified,01-12-2015,Fully Paid,credit_card,KS,19.26,0,680,684,12,0,20359,41.5,31,0
35000,35000,36,9.8,1126.07,B,B3,10+ years,RENT,95000,Source Verified,01-02-2016,Fully Paid,debt_consolidation,NJ,11.27,0,710,714,11,0,9203,31,45,0
12000,12000,36,15.99,421.83,C,C5,10+ years,RENT,80000,Source Verified,01-03-2017,Fully Paid,debt_consolidation,CO,11.71,0,660,664,12,0,6832,20.9,19,0
4000,4000,36,13.99,136.7,C,C3,2 years,RENT,50000,Source Verified,01-12-2016,Fully Paid,other,FL,15.67,0,665,669,12,0,5391,66.6,12,0
15000,15000,36,7.89,469.29,A,A5,5 years,RENT,80000,Verified,01-06-2016,Fully Paid,debt_consolidation,NY,19.69,0,710,714,17,0,10724,17.7,27,0
8000,8000,36,14.65,275.96,C,C5,8 years,RENT,80000,Verified,01-10-2015,Charged Off,debt_consolidation,MA,17.18,0,675,679,16,0,9047,38.7,31,1
3000,3000,36,7.39,93.17,A,A4,10+ years,OWN,43000,Not Verified,01-03-2016,Fully Paid,major_purchase,NC,17.39,1,685,689,7,1,195,2.1,25,0
10000,10000,36,17.27,357.88,D,D2,Unknown,RENT,27972,Verified,01-03-2016,Fully Paid,debt_consolidation,VA,20.89,0,660,664,15,2,8684,50.5,37,0
1500,1500,36,8.99,47.7,B,B1,< 1 year,RENT,65000,Source Verified,01-10-2016,Fully Paid,debt_consolidation,OR,8.2,2,670,674,18,0,877,16.5,34,0
30000,30000,36,12.39,1002.03,C,C1,4 years,MORTGAGE,93000,Verified,01-01-2015,Fully Paid,debt_consolidation,FL,10.2,1,660,664,6,0,12814,84.3,20,0
5000,5000,36,10.99,163.67,B,B4,1 year,RENT,40000,Source Verified,01-09-2015,Fully Paid,credit_card,TX,12.9,0,675,679,11,0,4243,68.4,30,0
13850,13850,36,15.88,486.11,C,C4,2 years,OWN,95000,Verified,01-07-2013,Fully Paid,debt_consolidation,CA,29.37,0,670,674,5,0,261730,101.1,21,0
16000,16000,60,14.49,376.37,C,C4,10+ years,RENT,82000,Not Verified,01-07-2014,Charged Off,credit_card,FL,29.73,0,720,724,11,0,14608,52.7,14,1
20000,20000,60,16.29,489.45,D,D2,10+ years,MORTGAGE,55000,Verified,01-09-2014,Charged Off,debt_consolidation,IN,25.25,0,665,669,18,1,10010,61,35,1
12600,12600,36,13.98,430.52,C,C1,10+ years,MORTGAGE,60000,Verified,01-02-2014,Fully Paid,debt_consolidation,FL,19.84,0,670,674,10,0,8685,59.9,20,0
25000,25000,60,14.16,583.79,C,C2,9 years,MORTGAGE,154693,Verified,01-02-2014,Fully Paid,credit_card,TX,7.56,0,715,719,15,0,17687,40.5,40,0
16000,16000,60,12.69,361.52,C,C2,10+ years,MORTGAGE,60000,Source Verified,01-06-2015,Charged Off,debt_consolidation,IL,22.02,0,730,734,15,0,7450,25,18,1
23125,23125,60,17.86,585.47,D,D5,10+ years,MORTGAGE,58000,Verified,01-11-2014,Charged Off,credit_card,CT,32.26,0,660,664,17,0,49528,87.4,28,1
15600,15600,36,9.75,501.54,B,B3,10+ years,MORTGAGE,81000,Not Verified,01-02-2016,Fully Paid,debt_consolidation,TX,26.83,1,715,719,10,0,14720,24.7,31,0
35000,35000,60,17.27,874.93,D,D3,< 1 year,RENT,92000,Source Verified,01-01-2016,Charged Off,debt_consolidation,CA,17.38,0,725,729,8,0,12083,37.4,11,1
2800,2800,36,14.85,96.86,C,C5,10+ years,MORTGAGE,30639,Verified,01-12-2015,Fully Paid,debt_consolidation,CA,18.76,0,685,689,10,0,9089,51.1,22,0
10000,10000,36,7.89,312.86,A,A5,2 years,RENT,50000,Source Verified,01-03-2015,Fully Paid,debt_consolidation,CA,34.85,0,705,709,10,0,9836,66.9,11,0
6025,6025,36,13.99,205.9,C,C4,5 years,RENT,30000,Source Verified,01-08-2015,Fully Paid,credit_card,MA,6.84,0,685,689,4,0,5271,50.7,7,0
25000,25000,36,7.89,782.15,A,A5,6 years,MORTGAGE,78000,Verified,01-07-2015,Fully Paid,debt_consolidation,KS,16.48,0,720,724,11,0,10393,39.2,34,0
3500,3500,36,10.99,114.57,B,B2,2 years,RENT,27000,Not Verified,01-03-2014,Fully Paid,credit_card,TN,4.84,0,680,684,4,1,2278,19,13,0
25000,25000,36,11.14,820.13,B,B2,7 years,MORTGAGE,120000,Source Verified,01-01-2013,Fully Paid,debt_consolidation,CA,3.65,0,720,724,4,0,27250,61,32,0
10000,10000,36,15.99,351.53,C,C5,4 years,MORTGAGE,65000,Not Verified,01-02-2017,Fully Paid,debt_consolidation,FL,23.12,0,665,669,18,1,22444,44.1,34,0
24000,24000,36,11.53,791.77,B,B5,10+ years,OWN,105000,Source Verified,01-04-2015,Fully Paid,other,OK,26.82,0,690,694,16,0,29167,65,33,0
20000,20000,36,11.99,664.2,C,C1,1 year,RENT,60000,Source Verified,01-05-2016,Fully Paid,debt_consolidation,NV,29.46,0,670,674,14,0,17369,76.5,23,0
8000,8000,36,11.99,265.68,C,C1,3 years,RENT,60000,Source Verified,01-01-2016,Fully Paid,credit_card,NY,12.42,0,660,664,5,0,16552,59.5,7,0
10000,10000,36,7.39,310.56,A,A4,10+ years,MORTGAGE,87290,Verified,01-03-2016,Fully Paid,home_improvement,CA,9.35,2,685,689,11,0,3178,10.4,33,0
27000,27000,36,25.49,1080.53,E,E4,10+ years,MORTGAGE,75000,Verified,01-11-2016,Charged Off,debt_consolidation,NC,19.39,1,680,684,9,0,16953,95,14,1
7200,7200,36,12.05,239.32,C,C1,Unknown,MORTGAGE,54000,Not Verified,01-11-2015,Fully Paid,home_improvement,TX,37.98,0,760,764,11,0,12084,26.3,31,0
1500,1500,36,17.99,54.23,D,D2,Unknown,RENT,10704,Verified,01-05-2017,Fully Paid,other,IN,3.81,1,690,694,3,0,547,19.5,3,0
10000,10000,36,15.59,349.55,C,C5,2 years,RENT,45500,Source Verified,01-08-2016,Fully Paid,house,TN,20.53,0,705,709,12,0,12649,38.1,19,0
10000,10000,36,12.29,333.53,C,C1,10+ years,MORTGAGE,165000,Not Verified,01-07-2015,Fully Paid,debt_consolidation,CA,17.48,3,700,704,10,0,152228,58.1,22,0
21000,21000,36,22.74,810.07,E,E1,10+ years,RENT,50000,Source Verified,01-03-2017,Fully Paid,debt_consolidation,CA,3.19,0,660,664,9,1,8333,31.3,20,0
9750,9750,36,14.65,336.32,C,C5,1 year,MORTGAGE,35000,Not Verified,01-07-2015,Fully Paid,debt_consolidation,TX,9.33,0,695,699,5,0,8318,55.8,15,0
3500,3500,36,11.55,115.5,B,B3,1 year,RENT,25000,Not Verified,01-08-2013,Fully Paid,credit_card,CA,26.02,0,715,719,10,0,4017,25.7,11,0
8000,8000,36,10.51,260.06,B,B2,8 years,MORTGAGE,60000,Not Verified,01-11-2008,Fully Paid,debt_consolidation,NJ,23.46,0,715,719,10,0,44282,61.2,14,0
17050,17050,36,14.33,585.47,C,C1,10+ years,MORTGAGE,38000,Not Verified,01-04-2013,Fully Paid,debt_consolidation,MN,18.54,0,685,689,9,0,18051,66.1,13,0
17875,17875,36,19.48,659.58,E,E2,Unknown,RENT,57700,Verified,01-01-2016,Fully Paid,vacation,NV,2.23,0,740,744,13,0,562,2,13,0
6500,6500,36,5.32,195.75,A,A1,2 years,MORTGAGE,66000,Not Verified,01-03-2016,Fully Paid,credit_card,PA,20.31,0,750,754,16,0,14010,30,29,0
15725,15725,60,14.46,369.66,C,C4,Unknown,MORTGAGE,52296,Verified,01-03-2016,Fully Paid,debt_consolidation,TX,31.99,0,715,719,18,0,9811,24.7,29,0
4000,4000,36,14.08,136.87,C,C3,8 years,MORTGAGE,43000,Source Verified,01-07-2017,Fully Paid,debt_consolidation,FL,16.8,2,670,674,9,0,1847,36.2,14,0
8000,8000,36,9.99,258.1,B,B3,10+ years,MORTGAGE,80000,Not Verified,01-07-2015,Fully Paid,debt_consolidation,TN,12.9,0,695,699,5,1,5664,28,9,0
8400,8400,36,15.99,295.28,D,D2,10+ years,MORTGAGE,65000,Source Verified,01-11-2014,Fully Paid,other,TX,19.09,0,680,684,14,1,8004,29.5,25,0
1500,1500,36,11.47,49.45,B,B5,8 years,OWN,35000,Source Verified,01-03-2016,Fully Paid,credit_card,TX,27.06,0,695,699,8,1,6102,26.1,10,0
25000,25000,60,9.16,520.91,B,B2,3 years,MORTGAGE,135000,Verified,01-05-2016,Fully Paid,debt_consolidation,IN,13.23,0,755,759,10,0,7904,25,45,0
15000,15000,36,13.49,508.96,C,C2,1 year,RENT,95000,Verified,01-07-2016,Fully Paid,debt_consolidation,HI,33.83,0,685,689,18,0,35770,73.1,35,0
33000,33000,36,8.39,1040.05,A,A5,10+ years,MORTGAGE,88000,Verified,01-10-2014,Fully Paid,credit_card,TN,16.76,0,695,699,14,0,32126,71.2,31,0
20000,20000,60,13.11,456.19,B,B4,10+ years,MORTGAGE,143000,Verified,01-12-2012,Fully Paid,credit_card,WI,17.84,1,690,694,13,0,32120,89.7,26,0
25000,25000,36,8.24,786.19,B,B1,10+ years,MORTGAGE,184000,Not Verified,01-01-2017,Fully Paid,debt_consolidation,WI,17.47,0,695,699,15,0,50387,58,32,0
20000,20000,60,10.42,429.09,B,B3,< 1 year,MORTGAGE,100000,Not Verified,01-09-2017,Charged Off,debt_consolidation,TN,29.79,0,725,729,13,0,28300,59.7,38,1
2100,2100,36,7.21,65.05,A,A3,9 years,OWN,48000,Not Verified,01-07-2017,Fully Paid,vacation,NJ,34.6,0,720,724,24,1,17709,34.5,42,0
10000,10000,36,7.07,309.1,A,A2,10+ years,MORTGAGE,107000,Not Verified,01-10-2017,Fully Paid,debt_consolidation,NY,18.24,0,720,724,20,1,19548,29,34,0
10000,10000,36,14.08,342.17,C,C3,10+ years,MORTGAGE,90000,Source Verified,01-01-2018,Fully Paid,house,VA,17.12,3,680,684,9,0,5662,75.5,18,0
5000,5000,36,18.75,182.65,D,D3,10+ years,RENT,40000,Verified,01-06-2013,Fully Paid,debt_consolidation,CA,11.13,0,685,689,8,0,5899,48.8,24,0
20000,20000,36,10.75,652.41,B,B4,Unknown,MORTGAGE,50000,Verified,01-05-2016,Fully Paid,debt_consolidation,WA,28.35,0,665,669,10,0,11981,87.5,29,0
3000,3000,36,15.99,105.46,D,D2,10+ years,MORTGAGE,42000,Not Verified,01-01-2015,Fully Paid,home_improvement,FL,29.66,0,685,689,10,0,3284,69.9,35,0
1250,1250,36,14.49,43.03,C,C4,9 years,RENT,25000,Not Verified,01-05-2014,Fully Paid,debt_consolidation,IL,13.49,0,660,664,3,1,243,16,22,0
3700,3700,36,15.59,129.34,D,D1,10+ years,RENT,71000,Not Verified,01-11-2014,Fully Paid,home_improvement,VA,10.51,0,675,679,3,0,454,56.7,16,0
25000,25000,36,6.99,771.82,A,A3,10+ years,MORTGAGE,80000,Source Verified,01-01-2016,Fully Paid,home_improvement,NY,9.02,0,705,709,6,0,96437,80,19,0
13000,13000,36,6.24,396.91,A,A2,10+ years,MORTGAGE,68000,Source Verified,01-07-2015,Fully Paid,credit_card,FL,14.28,0,725,729,9,0,17425,32,22,0
24000,24000,36,15.31,835.62,C,C5,3 years,OWN,70000,Not Verified,01-03-2016,Fully Paid,home_improvement,IL,3.17,0,720,724,9,0,4498,21.7,12,0
11000,11000,36,11.49,362.69,B,B5,5 years,RENT,36000,Verified,01-02-2017,Fully Paid,debt_consolidation,OR,40.1,0,740,744,4,0,979,15.1,14,0
8750,8750,36,17.99,316.29,D,D2,3 years,RENT,25000,Not Verified,01-03-2017,Fully Paid,credit_card,MA,14.11,0,675,679,6,0,12066,88,19,0
7000,7000,36,9.17,223.16,B,B1,8 years,MORTGAGE,75000,Source Verified,01-08-2014,Fully Paid,credit_card,NC,16.61,0,665,669,8,0,3671,59.2,13,0
30000,30000,60,24.99,880.37,E,E4,2 years,MORTGAGE,75000,Verified,01-09-2016,Fully Paid,major_purchase,NJ,10.54,0,705,709,10,0,8375,20.9,26,0
11400,11400,60,25.49,337.89,E,E4,3 years,RENT,50000,Source Verified,01-02-2017,Fully Paid,debt_consolidation,CA,24.74,0,680,684,13,0,32827,35.8,16,0
20000,20000,60,15.41,480.12,D,D1,1 year,RENT,47840,Verified,01-12-2015,Charged Off,debt_consolidation,TX,33.17,0,710,714,14,0,19741,32.4,26,1
12000,12000,36,6.89,369.93,A,A3,3 years,MORTGAGE,90000,Source Verified,01-12-2015,Fully Paid,debt_consolidation,IN,11.12,0,740,744,27,0,19271,32.3,47,0
10625,10625,36,6.62,326.23,A,A2,< 1 year,MORTGAGE,40000,Verified,01-09-2011,Fully Paid,small_business,CA,16.89,0,755,759,8,0,1099,8.8,17,0
16000,16000,36,11.49,527.55,B,B5,3 years,RENT,120000,Not Verified,01-10-2016,Charged Off,debt_consolidation,AL,21.88,2,680,684,11,1,4519,27.4,32,1
20000,20000,36,16.78,710.87,C,C5,10+ years,RENT,50000,Source Verified,01-09-2013,Fully Paid,debt_consolidation,WI,22.92,0,720,724,14,0,15830,56.3,37,0
17000,17000,60,16.02,413.59,C,C5,10+ years,RENT,54000,Not Verified,01-07-2017,Charged Off,debt_consolidation,FL,16.04,1,685,689,9,0,10668,48.1,14,1
3000,3000,36,7.39,93.17,A,A4,Unknown,RENT,60000,Not Verified,01-05-2016,Fully Paid,debt_consolidation,CA,17.24,0,705,709,6,0,2276,46.4,27,0
20000,20000,60,17.99,507.76,E,E1,10+ years,MORTGAGE,140004,Verified,01-07-2011,Charged Off,debt_consolidation,CT,14.41,0,700,704,21,0,43677,93.6,41,1
4500,4500,36,5.32,135.52,A,A1,10+ years,MORTGAGE,35000,Not Verified,01-03-2016,Fully Paid,home_improvement,IN,10.39,0,735,739,4,0,11938,66,12,0
20000,20000,36,9.99,645.25,B,B3,10+ years,MORTGAGE,95000,Verified,01-11-2015,Fully Paid,debt_consolidation,CA,34.42,3,660,664,9,0,16626,71,16,0
10000,10000,36,8.38,315.12,B,B1,2 years,OWN,75000,Not Verified,01-12-2015,Fully Paid,debt_consolidation,TX,30.27,0,710,714,21,0,5909,15.2,49,0
30000,30000,36,11.47,988.86,B,B5,10+ years,MORTGAGE,86000,Verified,01-06-2016,Fully Paid,debt_consolidation,FL,27.34,0,685,689,19,0,11975,46.2,39,0
2000,2000,36,15.31,69.64,C,C4,7 years,RENT,24000,Not Verified,01-03-2014,Fully Paid,other,GA,11.6,0,665,669,4,0,3340,90.3,20,0
27000,27000,60,17.57,679.33,D,D2,10+ years,MORTGAGE,75000,Source Verified,01-01-2014,Fully Paid,debt_consolidation,GA,7.31,0,695,699,15,1,18478,45.6,23,0
17000,17000,36,9.17,541.95,B,B1,5 years,RENT,80000,Source Verified,01-10-2014,Fully Paid,debt_consolidation,FL,21.2,0,665,669,19,0,16445,63,39,0
8000,8000,36,8.99,254.37,B,B1,9 years,RENT,29801,Not Verified,01-09-2016,Fully Paid,debt_consolidation,MD,13.98,0,705,709,20,0,5057,45.2,30,0
13875,13875,36,10.75,452.61,B,B4,5 years,MORTGAGE,250000,Source Verified,01-03-2016,Fully Paid,home_improvement,NY,5.14,0,705,709,9,1,2763,31.4,15,0
35000,35000,60,28.34,1096.95,G,G3,10+ years,RENT,113000,Verified,01-03-2016,Charged Off,debt_consolidation,CA,43.41,3,680,684,19,0,59900,51.6,36,1
9750,9750,36,19.05,357.65,D,D4,6 years,RENT,43000,Not Verified,01-02-2013,Fully Paid,other,AK,4.55,0,670,674,6,0,4161,57,12,0
16000,16000,36,7.91,500.72,A,A5,10+ years,OWN,55000,Source Verified,01-01-2016,Charged Off,home_improvement,OK,5.37,0,715,719,7,1,7855,26,11,1
9750,9750,36,16.29,344.18,C,C4,2 years,MORTGAGE,27966,Not Verified,01-01-2013,Fully Paid,debt_consolidation,LA,12.19,0,660,664,6,1,9547,96.4,12,0
25000,25000,60,22.95,704.05,F,F1,6 years,MORTGAGE,82000,Verified,01-06-2013,Fully Paid,debt_consolidation,CA,15.18,0,685,689,12,0,6929,72.2,16,0
30000,30000,60,14.99,713.55,C,C4,10+ years,MORTGAGE,100000,Verified,01-03-2017,Charged Off,credit_card,CA,17.03,0,705,709,14,0,14428,35,24,1
14000,14000,36,16.99,499.07,D,D1,Unknown,MORTGAGE,55200,Verified,01-12-2016,Fully Paid,debt_consolidation,AL,32.3,0,665,669,26,0,51488,41,64,0
7200,7200,36,11.55,237.6,B,B4,5 years,RENT,100000,Not Verified,01-07-2018,Fully Paid,debt_consolidation,AZ,1.22,0,735,739,8,0,2198,9.4,11,0
15000,15000,36,11.53,494.86,B,B5,10+ years,RENT,38250,Source Verified,01-03-2015,Fully Paid,debt_consolidation,MD,39.47,0,730,734,17,0,20015,36.9,41,0
4000,4000,60,11.12,87.21,B,B3,1 year,RENT,32656,Source Verified,01-06-2010,Charged Off,major_purchase,FL,16.35,0,715,719,15,0,3071,16.4,23,1
5600,5600,36,13.67,190.5,C,C4,Unknown,MORTGAGE,27157,Verified,01-12-2015,Fully Paid,debt_consolidation,FL,33.19,0,695,699,6,0,14910,82.4,13,0
5000,5000,36,7.26,154.99,A,A4,10+ years,MORTGAGE,70000,Not Verified,01-05-2015,Fully Paid,other,CA,20.83,0,715,719,14,1,19825,43.8,32,0
12000,12000,36,8.19,377.09,A,A5,10+ years,MORTGAGE,100000,Verified,01-01-2015,Fully Paid,debt_consolidation,OH,15.92,0,685,689,13,0,10365,25.3,44,0
7800,7800,36,7.26,241.77,A,A4,1 year,OWN,50000,Not Verified,01-07-2015,Fully Paid,debt_consolidation,FL,24.5,0,730,734,9,0,2588,36.5,24,0
4200,4200,36,18.55,153.01,E,E2,10+ years,MORTGAGE,50000,Not Verified,01-07-2015,Fully Paid,debt_consolidation,AL,26.16,0,680,684,9,0,26727,74.7,22,0
7925,7925,36,13.99,270.82,C,C3,10+ years,MORTGAGE,49000,Verified,01-08-2016,Fully Paid,credit_card,NC,20.52,2,670,674,11,0,8590,37.3,36,0
5000,5000,36,9.93,161.18,B,B2,1 year,RENT,60000,Source Verified,01-10-2017,Fully Paid,other,NJ,10.86,0,695,699,6,0,7022,59.5,8,0
15000,15000,36,10.78,489.52,B,B4,4 years,OWN,60000,Not Verified,01-01-2016,Fully Paid,debt_consolidation,IL,19.66,0,705,709,9,0,12987,44,22,0
16000,16000,60,17.86,405.08,D,D5,10+ years,RENT,57500,Source Verified,01-05-2015,Fully Paid,debt_consolidation,NY,29.51,0,675,679,11,0,13332,69.8,18,0
12000,12000,60,18.55,308.33,E,E2,2 years,RENT,40000,Verified,01-07-2015,Charged Off,credit_card,UT,25.41,0,670,674,7,0,7610,66.2,12,1
26700,26700,36,9.17,851.17,B,B1,4 years,RENT,90000,Source Verified,01-08-2014,Fully Paid,debt_consolidation,MD,17.54,0,735,739,9,0,24958,46,27,0
12425,12425,60,23.99,357.37,F,F3,10+ years,MORTGAGE,34580,Not Verified,01-05-2015,Charged Off,debt_consolidation,SC,21.03,0,670,674,26,1,5201,37.1,45,1
40000,40000,36,10.91,1307.85,B,B4,1 year,OWN,204000,Source Verified,01-07-2017,Fully Paid,debt_consolidation,MI,14.96,1,695,699,12,0,86340,56,24,0
20000,20000,36,11.14,656.11,B,B2,10+ years,MORTGAGE,47000,Verified,01-05-2013,Fully Paid,debt_consolidation,OK,16.44,1,700,704,19,0,18683,53.8,27,0
35000,35000,36,11.53,1154.66,B,B5,10+ years,MORTGAGE,325000,Verified,01-04-2015,Fully Paid,credit_card,GA,21.2,2,670,674,13,0,34398,74.6,41,0
18300,18300,36,17.57,657.65,D,D4,7 years,RENT,67350,Not Verified,01-06-2014,Fully Paid,debt_consolidation,FL,14.43,0,660,664,7,0,7319,93.8,13,0
16275,16275,60,16.49,400.03,D,D3,2 years,OWN,35500,Source Verified,01-02-2015,Charged Off,debt_consolidation,SC,12.24,0,750,754,10,0,474,4,12,1
12000,12000,36,15.31,417.81,C,C2,2 years,MORTGAGE,85000,Not Verified,01-08-2012,Fully Paid,debt_consolidation,MD,4.6,1,680,684,8,0,17978,38.3,14,0
9500,9500,36,7.69,296.34,A,A4,10+ years,MORTGAGE,51500,Verified,01-10-2014,Fully Paid,credit_card,LA,27.01,1,720,724,32,0,9985,25,51,0
24000,24000,60,13.99,558.32,C,C4,9 years,MORTGAGE,115000,Not Verified,01-10-2015,Charged Off,debt_consolidation,IL,29.21,1,660,664,17,0,14127,56.3,44,1
35000,35000,36,16.02,1230.85,C,C5,7 years,MORTGAGE,125000,Not Verified,01-11-2017,Fully Paid,debt_consolidation,FL,19.6,0,710,714,10,0,21193,43.6,17,0
7925,7925,36,16.99,282.51,D,D1,6 years,MORTGAGE,69000,Not Verified,01-12-2013,Fully Paid,home_improvement,NV,6.5,0,675,679,7,0,4787,63.8,15,0
15000,15000,60,16.99,372.71,D,D1,10+ years,MORTGAGE,37000,Verified,01-02-2014,Fully Paid,debt_consolidation,CA,13.1,0,660,664,8,2,13933,75.7,19,0
8000,8000,36,11.99,265.68,C,C1,10+ years,MORTGAGE,102000,Source Verified,01-02-2016,Fully Paid,debt_consolidation,AR,12.36,0,675,679,13,0,11461,69.5,47,0
10000,10000,36,11.99,332.1,C,C1,10+ years,MORTGAGE,100000,Source Verified,01-02-2016,Charged Off,home_improvement,NY,18.43,1,660,664,9,0,14125,58.9,22,1
18000,18000,36,7.69,561.49,A,A4,4 years,MORTGAGE,180000,Verified,01-11-2014,Fully Paid,credit_card,VA,5.18,0,660,664,5,1,34373,89.7,10,0
10000,10000,36,13.99,341.73,C,C4,2 years,RENT,31000,Verified,01-10-2015,Charged Off,debt_consolidation,TN,27.87,0,670,674,9,1,651,5,39,1
11000,11000,36,11.47,362.58,B,B5,5 years,RENT,41000,Verified,01-02-2016,Charged Off,other,ME,18.21,0,700,704,5,0,9774,41.9,6,1
10000,10000,36,12.99,336.9,C,C1,2 years,RENT,32000,Not Verified,01-08-2014,Fully Paid,debt_consolidation,TX,27.72,1,660,664,10,0,11245,68.6,13,0
12800,12800,60,26.77,389.1,E,E5,< 1 year,OWN,40000,Not Verified,01-05-2018,Fully Paid,major_purchase,CO,22.86,0,720,724,18,0,914,6.9,21,0
15000,15000,60,13.33,343.84,C,C3,10+ years,RENT,93000,Not Verified,01-05-2015,Fully Paid,debt_consolidation,NM,24.31,0,660,664,12,1,15013,75.1,26,0
12000,12000,36,12.59,401.97,C,C2,3 years,RENT,46000,Source Verified,01-01-2016,Fully Paid,credit_card,WA,12.67,1,660,664,9,0,12020,91.1,36,0
14000,14000,36,17.58,503.19,D,D4,6 years,MORTGAGE,56000,Not Verified,01-01-2012,Fully Paid,debt_consolidation,TX,9.45,1,660,664,16,0,13811,82.2,31,0
35000,35000,36,11.99,1162.34,C,C1,3 years,RENT,115000,Verified,01-06-2016,Fully Paid,debt_consolidation,OR,23.6,0,695,699,26,0,25527,74,38,0
15000,15000,36,7.9,469.36,A,A4,10+ years,MORTGAGE,100000,Not Verified,01-04-2014,Fully Paid,debt_consolidation,GA,11.21,0,790,794,18,0,14800,12.3,46,0
20000,20000,36,10.91,653.93,B,B4,10+ years,MORTGAGE,75000,Source Verified,01-06-2017,Fully Paid,credit_card,TN,22.24,0,670,674,12,0,23729,57.5,19,0
30000,30000,36,14.3,1029.71,C,C1,2 years,RENT,104000,Source Verified,01-11-2013,Fully Paid,debt_consolidation,IL,8.26,0,680,684,7,0,21395,78.9,23,0
6000,6000,36,10.99,196.41,B,B3,2 years,RENT,30000,Not Verified,01-07-2014,Fully Paid,debt_consolidation,OH,19.96,0,665,669,13,1,7629,68.1,23,0
8000,8000,36,12.69,268.36,C,C2,8 years,RENT,40000,Not Verified,01-09-2015,Fully Paid,credit_card,MI,19.17,0,660,664,9,1,8248,73.6,18,0
24000,24000,36,7.26,743.91,A,A4,9 years,MORTGAGE,150000,Source Verified,01-06-2015,Fully Paid,debt_consolidation,VA,8.15,0,695,699,10,0,17223,58,18,0
14950,14950,60,16.55,367.94,D,D2,6 years,MORTGAGE,34000,Source Verified,01-09-2015,Fully Paid,credit_card,AZ,24.5,0,705,709,9,0,20481,67.6,13,0
